museum,location,#_objects
Davis Museum at Wellesley College,"106 Central St, Wellesley, MA 02481, United States",3 objects
"SLAM, Saint Louis Art Museum","1 Fine Arts Dr, St. Louis, MO 63110",3 objects
"Patricia & Phillip Frost Art Museum, Florida International University","10975 SW 17th St, Miami, FL 33199, United States",3 objects
Royal Armouries,"Armouries Dr, Leeds LS10 1LT, UK",3 objects
Royal Museums Greenwich,"Romney Rd, London SE10 9NF, UK",3 objects
Royal Albert Memorial Museum & Art Gallery (RAMM),"Queen St, Exeter EX4 3RX, UK",3 objects
"HMA, Haffenreffer Museum of Anthropology at Brown University","21 Prospect St, Providence, RI 02912, United States",2 objects
Museum aan de Stroom,"Hanzestedenplaats 1, 2000 Antwerpen, Belgium",2 objects
Harvard Art Museums,"32 Quincy St, Cambridge, MA 02138, United States",2 objects
Krannert Art Museum | University of Illinois at Urbana-Champaign,"500 East Peabody Drive, Champaign, IL 61820, USA",2 objects
Bristol Museum & Art Gallery,"Bristol Museum & Art Gallery, Queens Rd, Bristol BS8 1RL, United Kingdom",2 objects
Yale University Art Gallery,"1111 Chapel St, New Haven, CT 06510, United States",2 objects
Birmingham Museums Trust,"Chamberlain Square, Birmingham B3 3DH, United Kingdom",2 objects
"Calderdale Museums, Bankfield Museum","Akroyd Park, Boothtown Rd, Halifax HX3 6HG, United Kingdom",2 objects
Warrington Museum and Art Gallery,"Bold St, Warrington WA1 1DR, UK",2 objects
Royal Collection Trust,"Windsor SL4 1NJ, United Kingdom",2 objects
"Phoebe A. Hearst Museum of Anthropology, University of California at Berkeley","Kroeber Hall, 103, Berkeley, CA 94720, United States",1 object
Hood Museum of Art,"Hood Museum of Art
Dartmouth
6 E Wheelock St, Hanover, NH 03755, USA",1 object
LACMA The Los Angeles County Museum of Art,"5905 Wilshire Blvd, Los Angeles, CA 90036, United States",1 object
Newark Museum of Art,"49 Washington St, Newark, NJ 07102, United States",1 object
"Allen Memorial Art Museum, Oberlin College","87 N Main St, Oberlin, OH 44074, United States",1 object
Carnegie Museum of Art,"4400 Forbes Ave, Pittsburgh, PA 15213, USA",1 object
"RISD Museum, Museum of Art at Rhode Island School of Design","20 N Main St, Providence, RI 02903, United States",1 object
Institut für Ethnologie und Ethnologische Sammlung der Universität Göttingen,"Theaterpl. 15, 37073 Göttingen, Germany",1 object
"Landesmuseum Hannover, Das WeltenMuseum","Willy-Brandt-Allee 5, 30169 Hannover, Germany",1 object
Canadian Museum of History / Musée canadien de l’histoire,"100 Laurier St, Gatineau, Quebec K1A 0M8, Canada",1 object
"Institut für Ethnologie und Afrikastudien, Johannes Gutenberg-Universität Mainz","Forum universitatis 6, 55099 Mainz, Germany",1 object
Museum of Anthropology at UBC,"6393 NW Marine Dr, Vancouver, BC V6T 1Z2, Canada",1 object
Hunt Museum,"Rutland St, Limerick, Ireland",1 object
Gustavianum - Uppsala University Museum,"Akademigatan 3, 753 10 Uppsala, Sweden",1 object
Musée d'Ethnographie de Neuchâtel,"Rue de Saint-Nicolas 4, 2000 Neuchâtel, Switzerland",1 object
"Fleming Museum of Art, University of Vermont","61 Colchester Ave, Burlington, VT 05405, United States",1 object
"Michael C. Carlos Museum, Emory University","571 South Kilgo Cir NE, Atlanta, GA 30322, United States",1 object
Museum Folkwang,"Museumsplatz 1, 45128 Essen, Germany",1 object
National Gallery of Art,"Constitution Ave. NW, Washington, DC 20565, United States",1 object
Musée national Picasso Paris,"5 Rue de Thorigny, 75003 Paris",1 object
Museu Nacional de Etnologia,"Av. da Ilha da Madeira, 1400-203 Lisboa, Portugal",1 object
Barber Institute of Fine Arts,"Barber Institute of Fine Arts, University of Birmingham, Birmingham B15 2TS, United Kingdom",1 object
"VMFA, Virginia Museum of Fine Arts","200 N Arthur Ashe Blvd, Richmond, VA 23220, United States",1 object
Muzeum Narodowe w Szczecinie,"Staromłyńska 27, 70-561 Szczecin, Poland",1 object
"National Archives, John F. Kennedy Presidential Library and Museum","Columbia Point, Dorchester, MA 02125",1 object
"Musée de la musique, Cité de la Musique - Philharmonie de Paris","221 Av. Jean Jaurès, 75019 Paris, France",1 object
Toledo Museum of Art,"2445 Monroe Street
Toledo, OH 43620",1 object
Northampton Museums and Art Gallery,"4-6 Guildhall Rd, Northampton NN1 1DP, United Kingdom",1 object
Al Thani Collection,"2 Pl. de la Concorde, 75008 Paris, France",1 object
Speed Art Museum,"2035 S 3rd St, Louisville, KY 40208",1 object
"Niedersächsische Landesmuseen Oldenburg, Landesmuseum Natur und Mensch Oldenburg","Damm 38 – 46, 26135 Oldenburg, GERMANY",1 object
Hull Museums,"Dock Office Chambers, New Cross St, Hull HU1 3RA, United Kingdom",1 object
Great North Museum: Hancock,"Hancock, Barras Bridge, Newcastle upon Tyne NE2 4PT, United Kingdom",1 object
"Museums and Special Collections, University of Aberdeen","King's College, Aberdeen AB24 3FX, United Kingdom",1 object
